id,created_at,updated_at,reference_id,title,author,url,hostname,description,crawled_at,published_at,categories,stocks,classes,indices,stock_names,summary,companies,sentiment
tweet_id:1800042630577070225,2024-06-10T05:49:40.000Z,,,"Gold prices on MCX for August futures contracts fell by Rs 3,400 in the last 20 days and opened at Rs 71,012 per 10 grams",@ETMarkets,https://x.com/ETMarkets/status/1800042630577070225,ETMarkets,True,,,,[],[],[],[],,[],
tweet_id:1800042111389348125,2024-06-10T05:47:37.000Z,,,"Morgan Stanley maintained an overweight rating on Kaynes Technology, while Macquarie has a sell rating on Zomato",@ETMarkets,https://x.com/ETMarkets/status/1800042111389348125,ETMarkets,True,,,,[],[],[],[],,[],
tweet_id:1800033921247441275,2024-06-10T05:15:04.000Z,,,"Stocks of Balrampur Chini, SAIL, and Zee Entertainment are under an F&O trade ban today",@ETMarkets,https://x.com/ETMarkets/status/1800033921247441275,ETMarkets,True,,,,[],[],[],[],,[],
tweet_id:1800032997712052539,2024-06-10T05:11:24.000Z,,,"Stock Radar: Tata Consumer bounces back after retesting 200-EMA, Shitij Gandhi (), Senior Technical Analyst, SMC Global Securities tells ",@ETMarkets,https://x.com/ETMarkets/status/1800032997712052539,ETMarkets,True,,,,[],[],[],[],,[],
tweet_id:1800030379442925964,2024-06-10T05:01:00.000Z,,,Here are the top 8 trading ideas for today#StocksToBuy,@ETMarkets,https://x.com/ETMarkets/status/1800030379442925964,ETMarkets,True,,,,[],[],[],[],,[],
tweet_id:1800029936486682999,2024-06-10T04:59:14.000Z,,,"Stocks like ONGC, HAL and Power Grid are good bets to play the next round of upside but entry may be planned in a staggered manner, says Anand James, Chief Market Strategist, Geojit Financial Services.",@ETMarkets,https://x.com/ETMarkets/status/1800029936486682999,ETMarkets,True,,,,[],[],[],[],,[],
tweet_id:1800027151401677080,2024-06-10T04:48:10.000Z,,,Stock Radar: Bajaj Auto has already more than doubled investors’ wealth in the last 1 year but underwent some consolidation in the previous 10 weeks. ,@ETMarkets,https://x.com/ETMarkets/status/1800027151401677080,ETMarkets,True,,,,[],[],[],[],,[],
tweet_id:1800024412542079246,2024-06-10T04:37:17.000Z,,,The shares of Kronox Lab Sciences listed on the exchanges with a premium of 21.3% on Monday.https://economictimes.indiatimes.com/markets/ipos/fpos/kronox-lab-sciences-shares-list-at-21-premium-over-issue-price/articleshow/110861040.cms…,@ETMarkets,https://x.com/ETMarkets/status/1800024412542079246,ETMarkets,True,,,,[],[],[],[],,[],
tweet_id:1800023165298753592,2024-06-10T04:32:20.000Z,,,"The IPO of Le Travenues Technology, which operates travel platform #Ixigo, opened for subscription today.#IPOAlert https://economictimes.indiatimes.com/markets/ipos/fpos/ixigo-ipo-opens-for-subscription-should-you-bid/articleshow/110860216.cms…",@ETMarkets,https://x.com/ETMarkets/status/1800023165298753592,ETMarkets,True,,,,[],[],[],[],,[],
tweet_id:1800020037165818145,2024-06-10T04:19:54.000Z,,,At multi-year highs: These 3 Nifty stocks witness 5-year swing high breakout#Webstory ,@ETMarkets,https://x.com/ETMarkets/status/1800020037165818145,ETMarkets,True,,,,[],[],[],[],,[],
